declarationId,senderReference,receiverReference,goodsCategoryCode,riskAssessmentCode,originCountry,declaredValue,weightKg
DEC-00001,SND-0018,RCV-0030,CAT-008,RISK-06,EE,137.01,2.3
DEC-00002,SND-0035,RCV-0059,CAT-015,RISK-11,LV,174.02,3.6
DEC-00003,SND-0052,RCV-0088,CAT-022,RISK-16,LT,211.03,4.9
DEC-00004,SND-0069,RCV-0117,CAT-029,RISK-01,FI,248.04,6.2
DEC-00005,SND-0086,RCV-0146,CAT-036,RISK-06,SE,285.05,7.5
DEC-00006,SND-0103,RCV-0175,CAT-043,RISK-11,DE,322.06,8.8
DEC-00007,SND-0120,RCV-0204,CAT-050,RISK-16,PL,359.07,10.1
DEC-00008,SND-0137,RCV-0233,CAT-057,RISK-01,NL,396.08,11.4
DEC-00009,SND-0154,RCV-0012,CAT-064,RISK-06,CN,433.09,12.7
DEC-00010,SND-0171,RCV-0041,CAT-071,RISK-11,US,470.10,14.0
DEC-00011,SND-0188,RCV-0070,CAT-078,RISK-16,EE,507.11,15.3
DEC-00012,SND-0205,RCV-0099,CAT-005,RISK-01,LV,544.12,16.6
DEC-00013,SND-0222,RCV-0128,CAT-012,RISK-06,LT,581.13,17.9
DEC-00014,SND-0239,RCV-0157,CAT-019,RISK-11,FI,618.14,19.2
DEC-00015,SND-0006,RCV-0186,CAT-026,RISK-16,SE,655.15,20.5
DEC-00016,SND-0023,RCV-0215,CAT-033,RISK-01,DE,692.16,21.8
DEC-00017,SND-0040,RCV-0244,CAT-040,RISK-06,PL,729.17,23.1
DEC-00018,SND-0057,RCV-0023,CAT-047,RISK-11,NL,766.18,24.4
DEC-00019,SND-0074,RCV-0052,CAT-054,RISK-16,CN,803.19,25.7
DEC-00020,SND-0091,RCV-0081,CAT-061,RISK-01,US,840.20,27.0
DEC-00021,SND-0108,RCV-0110,CAT-068,RISK-06,EE,877.21,28.3
DEC-00022,SND-0125,RCV-0139,CAT-075,RISK-11,LV,914.22,29.6
DEC-00023,SND-0142,RCV-0168,CAT-002,RISK-16,LT,951.23,30.9
DEC-00024,SND-0159,RCV-0197,CAT-009,RISK-01,FI,988.24,32.2
DEC-00025,SND-0176,RCV-0226,CAT-016,RISK-06,SE,1025.25,33.5
DEC-00026,SND-0193,RCV-0005,CAT-023,RISK-11,DE,1062.26,34.8
DEC-00027,SND-0210,RCV-0034,CAT-030,RISK-16,PL,1099.27,36.1
DEC-00028,SND-0227,RCV-0063,CAT-037,RISK-01,NL,1136.28,37.4
DEC-00029,SND-0244,RCV-0092,CAT-044,RISK-06,CN,1173.29,38.7
DEC-00030,SND-0011,RCV-0121,CAT-051,RISK-11,US,1210.30,40.0
DEC-00031,SND-0028,RCV-0150,CAT-058,RISK-16,EE,1247.31,41.3
DEC-00032,SND-0045,RCV-0179,CAT-065,RISK-01,LV,1284.32,42.6
DEC-00033,SND-0062,RCV-0208,CAT-072,RISK-06,LT,1321.33,43.9
DEC-00034,SND-0079,RCV-0237,CAT-079,RISK-11,FI,1358.34,45.2
DEC-00035,SND-0096,RCV-0016,CAT-006,RISK-16,SE,1395.35,46.5
DEC-00036,SND-0113,RCV-0045,CAT-013,RISK-01,DE,1432.36,47.8
DEC-00037,SND-0130,RCV-0074,CAT-020,RISK-06,PL,1469.37,49.1
DEC-00038,SND-0147,RCV-0103,CAT-027,RISK-11,NL,1506.38,50.4
DEC-00039,SND-0164,RCV-0132,CAT-034,RISK-16,CN,1543.39,51.7
DEC-00040,SND-0181,RCV-0161,CAT-041,RISK-01,US,1580.40,53.0
DEC-00041,SND-0198,RCV-0190,CAT-048,RISK-06,EE,1617.41,54.3
DEC-00042,SND-0215,RCV-0219,CAT-055,RISK-11,LV,1654.42,55.6
DEC-00043,SND-0232,RCV-0248,CAT-062,RISK-16,LT,1691.43,56.9
DEC-00044,SND-0249,RCV-0027,CAT-069,RISK-01,FI,1728.44,58.2
DEC-00045,SND-0016,RCV-0056,CAT-076,RISK-06,SE,1765.45,59.5
DEC-00046,SND-0033,RCV-0085,CAT-003,RISK-11,DE,1802.46,60.8
DEC-00047,SND-0050,RCV-0114,CAT-010,RISK-16,PL,1839.47,62.1
DEC-00048,SND-0067,RCV-0143,CAT-017,RISK-01,NL,1876.48,63.4
DEC-00049,SND-0084,RCV-0172,CAT-024,RISK-06,CN,1913.49,64.7
DEC-00050,SND-0101,RCV-0201,CAT-031,RISK-11,US,1950.50,66.0
DEC-00051,SND-0118,RCV-0230,CAT-038,RISK-16,EE,1987.51,67.3
DEC-00052,SND-0135,RCV-0009,CAT-045,RISK-01,LV,2024.52,68.6
DEC-00053,SND-0152,RCV-0038,CAT-052,RISK-06,LT,2061.53,69.9
DEC-00054,SND-0169,RCV-0067,CAT-059,RISK-11,FI,2098.54,71.2
DEC-00055,SND-0186,RCV-0096,CAT-066,RISK-16,SE,2135.55,72.5
